iter	Passed	Remaining
0	6	1848
1	10	1604
2	15	1496
3	19	1428
4	23	1380
5	27	1353
6	31	1328
7	35	1312
8	40	1294
9	44	1282
10	48	1272
11	52	1263
12	56	1255
13	61	1246
14	65	1249
15	70	1254
16	75	1253
17	79	1249
18	84	1243
19	88	1235
20	92	1228
21	96	1222
22	101	1217
23	105	1216
24	110	1211
25	114	1206
26	118	1200
27	122	1194
28	127	1190
29	131	1183
30	135	1178
31	139	1172
32	144	1166
33	148	1161
34	152	1156
35	156	1150
36	161	1144
37	165	1138
38	169	1135
39	173	1130
40	178	1125
41	182	1121
42	187	1118
43	191	1113
44	195	1107
45	199	1102
46	203	1097
47	208	1093
48	212	1089
49	216	1083
50	220	1078
51	225	1073
52	229	1069
53	233	1064
54	237	1059
55	242	1054
56	246	1049
57	250	1043
58	254	1038
59	258	1033
60	262	1028
61	266	1023
62	270	1018
63	275	1014
64	279	1009
65	283	1005
66	287	1001
67	292	996
68	296	991
69	300	987
70	304	983
71	308	978
72	313	973
73	317	969
74	322	967
75	327	963
76	331	961
77	337	959
78	342	957
79	347	954
80	351	950
81	356	947
82	361	944
83	365	941
84	370	937
85	375	933
86	379	929
87	384	926
88	388	921
89	392	916
90	397	911
91	401	907
92	405	902
93	409	897
94	413	892
95	417	887
96	421	882
97	426	878
98	430	873
99	434	868
100	438	863
101	442	859
102	446	854
103	450	849
104	454	844
105	459	840
106	463	835
107	467	830
108	471	826
109	475	821
110	479	817
111	483	812
112	488	807
113	492	803
114	496	798
115	500	793
116	504	789
117	508	784
118	513	780
119	517	776
120	521	771
121	525	767
122	530	762
123	534	758
124	538	753
125	542	749
126	546	744
127	550	740
128	555	735
129	559	731
130	563	727
131	568	723
132	572	719
133	576	714
134	581	710
135	585	706
136	590	702
137	594	697
138	598	693
139	603	689
140	607	685
141	612	680
142	616	676
143	620	672
144	625	668
145	630	665
146	636	662
147	642	659
148	648	656
149	653	653
150	659	650
151	664	647
152	670	643
153	675	640
154	679	636
155	683	631
156	688	626
157	692	622
158	696	617
159	700	613
160	704	608
161	709	603
162	713	599
163	717	595
164	722	590
165	726	586
166	730	581
167	735	577
168	739	573
169	743	568
170	748	564
171	752	559
172	756	555
173	761	551
174	765	546
175	769	542
176	773	537
177	778	533
178	782	528
179	786	524
180	790	520
181	795	515
182	799	511
183	803	506
184	807	502
185	812	497
186	816	493
187	820	488
188	824	484
189	829	479
190	833	475
191	837	471
192	842	466
193	846	462
194	850	457
195	854	453
196	859	449
197	863	444
198	867	440
199	871	435
200	876	431
201	880	427
202	884	422
203	888	418
204	893	413
205	897	409
206	901	405
207	906	400
208	910	396
209	914	391
210	918	387
211	923	383
212	927	378
213	931	374
214	935	369
215	940	365
216	944	361
217	948	356
218	953	352
219	957	348
220	961	343
221	965	339
222	970	335
223	974	330
224	978	326
225	982	321
226	987	317
227	991	313
228	995	308
229	999	304
230	1004	299
231	1008	295
232	1012	291
233	1017	286
234	1021	282
235	1025	278
236	1029	273
237	1033	269
238	1037	264
239	1042	260
240	1046	256
241	1050	251
242	1054	247
243	1059	243
244	1063	238
245	1067	234
246	1071	229
247	1076	225
248	1080	221
249	1084	216
250	1089	212
251	1093	208
252	1097	203
253	1101	199
254	1105	195
255	1109	190
256	1114	186
257	1118	182
258	1122	177
259	1127	173
260	1131	169
261	1135	164
262	1139	160
263	1143	155
264	1148	151
265	1152	147
266	1156	142
267	1160	138
268	1165	134
269	1169	129
270	1174	125
271	1178	121
272	1182	116
273	1187	112
274	1191	108
275	1195	103
276	1199	99
277	1204	95
278	1210	91
279	1214	86
280	1218	82
281	1223	78
282	1227	73
283	1231	69
284	1235	65
285	1239	60
286	1244	56
287	1248	52
288	1252	47
289	1256	43
290	1260	38
291	1265	34
292	1269	30
293	1273	25
294	1277	21
295	1282	17
296	1286	12
297	1290	8
298	1294	4
299	1299	0
