id,team,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goals_per_game,goals_against_per_game,goal_differential,shots_for,shots_against,shots_per_game,shots_against_per_game,pp_goals,pp_opportunities,pp_pct,pk_goals_against,pk_opportunities,pk_pct,faceoff_wins,faceoff_total,faceoff_pct,ot_wins,so_wins,so_losses,ot_game_pct,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,current_streak,last_10_record,division,conference,division_rank,conference_rank,league_rank,created_at
1,ANA,20192020,77,33,34,10,76,0.4935064935064935,202,238,2.6233766233766236,3.090909090909091,-36,2299,2460,29.857142857142858,31.948051948051948,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,19,0,0,14,0,0,,,,,,,,2026-02-24 17:47:19
6,ARI,20192020,87,41,38,8,90,0.5172413793103449,239,243,2.7471264367816093,2.793103448275862,-4,2681,2860,30.816091954022987,32.87356321839081,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,21,0,0,20,0,0,,,,,,,,2026-02-24 17:47:19
11,BOS,20192020,90,53,21,16,122,0.6777777777777778,279,230,3.1,2.5555555555555554,49,2887,2703,32.077777777777776,30.033333333333335,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,27,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
16,BUF,20192020,75,34,33,8,76,0.5066666666666667,213,236,2.84,3.1466666666666665,-23,2219,2330,29.586666666666666,31.066666666666666,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,23,0,0,11,0,0,,,,,,,,2026-02-24 17:47:19
21,CAR,20192020,83,44,32,7,95,0.572289156626506,257,227,3.0963855421686746,2.7349397590361444,30,2687,2430,32.373493975903614,29.27710843373494,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,22,0,0,22,0,0,,,,,,,,2026-02-24 17:47:19
26,CBJ,20192020,87,40,28,19,99,0.5689655172413793,222,229,2.5517241379310347,2.632183908045977,-7,2799,2690,32.172413793103445,30.919540229885058,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,24,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
31,CGY,20192020,89,45,35,9,99,0.5561797752808989,265,272,2.9775280898876404,3.056179775280899,-7,2787,2835,31.314606741573034,31.853932584269664,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,21,0,0,24,0,0,,,,,,,,2026-02-24 17:47:19
36,CHI,20192020,87,40,37,10,90,0.5172413793103449,259,275,2.9770114942528734,3.160919540229885,-16,2668,2992,30.666666666666668,34.39080459770115,0,0,0.0,0,0,0.0,0,0,0.0,10,0,0,0.0,22,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
41,COL,20192020,92,54,27,11,119,0.6467391304347826,314,252,3.4130434782608696,2.739130434782609,62,3033,2793,32.96739130434783,30.358695652173914,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,24,0,0,30,0,0,,,,,,,,2026-02-24 17:47:19
46,DAL,20192020,104,56,39,9,121,0.5817307692307693,269,277,2.5865384615384617,2.6634615384615383,-8,3121,3337,30.009615384615383,32.08653846153846,0,0,0.0,0,0,0.0,0,0,0.0,19,0,0,0.0,25,0,0,31,0,0,,,,,,,,2026-02-24 17:47:19
51,DET,20192020,80,20,52,8,48,0.3,168,295,2.1,3.6875,-127,2150,2624,26.875,32.8,0,0,0.0,0,0,0.0,0,0,0.0,5,0,0,0.0,15,0,0,5,0,0,,,,,,,,2026-02-24 17:47:19
