2026-02-25 08:27:53 | eden.splash_screen | INFO | splash_screen:38 | OpenCV loaded successfully (version: 4.11.0)
2026-02-25 08:27:53 | eden.models.model_v5_predictor | INFO | model_v5_predictor:83 | Loaded ensemble model v5.0
2026-02-25 08:27:53 | eden.models.model_v5_predictor | INFO | model_v5_predictor:93 | Loaded feature scaler
2026-02-25 08:27:53 | eden.models.model_v5_predictor | INFO | model_v5_predictor:100 | Loaded 141 feature names
2026-02-25 08:27:53 | eden.models.model_v5_predictor | INFO | model_v5_predictor:107 | Model v5.0 info loaded
2026-02-25 08:27:53 | eden.models.model_v5_predictor | INFO | model_v5_predictor:110 | Model v5.0 loaded successfully
2026-02-25 10:09:40 | eden.data.real_data_fetcher | INFO | real_data_fetcher:121 | Initialized RealNHLDataFetcher with data/nhl_historical.db
2026-02-25 10:09:40 | eden.data.real_data_fetcher | INFO | real_data_fetcher:154 | Cached stats for 162 team-seasons
2026-02-25 10:09:40 | eden.data.real_data_fetcher | INFO | real_data_fetcher:395 | Loading up to 500 real NHL games...
2026-02-25 10:09:40 | eden.data.real_data_fetcher | INFO | real_data_fetcher:367 | Loaded 0 real NHL games from database
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:121 | Initialized RealNHLDataFetcher with data/nhl_historical.db
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:154 | Cached stats for 162 team-seasons
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:397 | Loading up to 1000 real NHL games...
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:369 | Loaded 1000 real NHL games from database
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:242 | Data Quality Validation:
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:243 |   Total games: 1000
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:244 |   OT games: 152 (15.2%)
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:245 |   Quality score: 0.86
2026-02-25 10:10:13 | eden.data.real_data_fetcher | WARNING | real_data_fetcher:248 | WARNING: OT rate 15.2% is below expected range (20%-26%)
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:426 | Prepared 1000 samples from REAL NHL data
2026-02-25 10:10:13 | eden.data.real_data_fetcher | INFO | real_data_fetcher:427 | OT distribution: 152 OT games (15.2%)
